Dashboard,Хяналтын самбар,
Reports & Masters,*Тайлан ба хяналт,
Filter By,Шүүх,
Assigned To,*Assigned To,
Created By,*Үүсгэсэн,
Edit Filters,Шүүлтүүр өөрчлөх,
Tags,*Tags,
Show Tags,*Show Tags,
Save Filter,Шүүлтүүр хадгалах,
Filter Name,Шүүлтүүрийн нэр,
Name,Нэр,
Full Name,Овог нэр,
Department,Хэлтэс,
Last Modified On,Сүүлд өөрчилсөн,
Your Shortcuts,Холбоосууд,
Customize,Засварлах,
Create a new {0},Шинэ {0} үүсгэх,
Add,Нэмэх,
Middle Name,*Второе имя,
Last Name,Овог,
Gender,Хүйс,
User ID,Хэрэглэгчийн ID,
Date,Огноо,
No {0} found,{0} олдсонгүй,
Description,Тайлбар,
Add a comment,Зурвас үлдээх,
Create your first {0},{0} үүсгэх,
Save,Хадгалах,
Create a new {0},{0} үүсгэх,
New {0},Шинэ {0} форм,
New {0}: {1},Шинэ {0}: {1},
Start Time,Эхлэх хугацаа,
End Time,Дуусах хугацаа,
filter,шүүх,
Filter,Шүүлтүүр,
Monday,Даваа,
Tuesday,Мягмар,
Wednesday,Лхагва,
Thursday,Пүрэв,
Friday,Баасан,
Saturday,Бямба,
Sunday,Ням,
Reason,Шалтгаан,
Open,Нээлттэй,
Cancelled,Цуцалсан,
Edit,Засварлах,
Total,Нийт,
Task,*задача,
First Name,Нэр,
Address,Хаяг,

















